question,answer,source_page
What is the starting pay rate for an apprentice at Bury College?,"You will earn a minimum of £8 per hour if you are either under 19, or aged 19 or over and in the first year of your apprenticeship. If you are 19 or over and have completed your first year, you are entitled to the minimum wage for your age.",https://burycollege.ac.uk/apprenticeships
We are a local business looking to hire an apprentice. How does Bury College support employers during this process?,"Bury College's Apprenticeship Team will work with you to find a programme that fits your business needs and the apprentice's goals. They also provide ongoing support throughout the apprenticeship, including supporting the apprentice's line manager through the mentoring process.",https://burycollege.ac.uk/apprenticeships
What qualifications do I need to start a Level 3 apprenticeship at Bury College?,"To start a Level 3 apprenticeship (which is equivalent to an A Level), you will likely need at least one grade 4 GCSE in Maths or English. However, individual employers set their own entry requirements and generally expect you to have grade 4 in both subjects.",https://burycollege.ac.uk/apprenticeships
What educational qualification will I receive if I complete a Level 2 apprenticeship?,Completing a Level 2 apprenticeship will give you an educational qualification equivalent to a GCSE.,https://burycollege.ac.uk/apprenticeships
How are apprentices assessed throughout their programme?,"Assessment takes place both during and at the end of the apprenticeship. Methods include observations, professional/guided discussions, questions and answers, reflective accounts, work product evidence, witness statements, and reviews, culminating in an End Point Assessment.",https://burycollege.ac.uk/apprenticeships
I already have a job but want to turn it into an apprenticeship. What should I do?,"If you are already employed and want to start an apprenticeship, you should contact the Bury College Apprenticeship Team directly for guidance.",https://burycollege.ac.uk/apprenticeships
What kind of support services are available to apprentices at Bury College?,"As an apprentice, you are part of the Bury College community and have access to the same support as other students. This includes a dedicated Learning and Skills Coach, as well as the Student Services team, which offers a 'one-stop shop' for support extending to all aspects of student life.",https://burycollege.ac.uk/apprenticeships
Who designs the apprenticeship programmes offered by Bury College to ensure they lead to career progression?,The apprenticeship programmes at Bury College have been developed by employers to ensure that apprentices receive professional training that aligns with industry needs and supports career progression.,https://burycollege.ac.uk/apprenticeships
What is the End Point Assessment (EPA) and who conducts it?,The End Point Assessment is a final assessment conducted at the end of your apprenticeship to test if you are competent in your occupation. It is carried out by an official Awarding Body.,https://burycollege.ac.uk/apprenticeships
I'm an adult looking to return to study. Is there an upcoming event where I can find out about adult courses at Bury College?,"Yes, Bury College is hosting an Adult Learning Open Event on Wednesday 17th June 2026, from 4pm to 7pm, where you can discover the wide range of opportunities starting in September.",https://burycollege.ac.uk/adults
Does Bury College offer any free online courses that I can study from home?,"Yes, Bury College offers a selection of FREE online distance learning Level 2 courses that can be completed at home or in the workplace, providing flexibility, dedicated support, and career progression.",https://burycollege.ac.uk/adults
"How can I apply for an adult course at Bury College, and who can I contact if I have general questions?","You can apply by clicking the 'Apply now' button on the website. For general enquiries, you can email admissions@burycollege.ac.uk or call the college directly at 0161 280 8200.",https://burycollege.ac.uk/adults
Are the English and Maths courses at Bury College free for adults?,"Yes, English and Maths courses (from basic skills to GCSE) are free for adult learners, provided they have not already attained a grade 4 at GCSE or an equivalent grade C or higher in the subject.",https://burycollege.ac.uk/adults
What financial support options are available for adult learners at Bury College?,"Adult learners may be eligible for financial support, which includes Advanced Learner Loans, the Learner Support Fund and Bursary, and free courses.",https://burycollege.ac.uk/adults
What kind of learning environment and support can I expect as an adult student at Bury College?,"As an adult student at Bury College, you will benefit from a dedicated adult learning environment, specialist facilities, and support from experienced tutors.",https://burycollege.ac.uk/adults
I am a local employer interested in hiring apprentices. Does Bury College have experience partnering with local businesses for childcare apprenticeships?,"Yes, Bury College has a long-standing partnership with the Mulberry Bush Nursery Group, helping them hire and train childcare Apprentices to provide learners with career opportunities.",https://burycollege.ac.uk/adults
How does Bury College engage with and support the local community through its educational programs?,"Bury College is committed to meeting local community needs by making meaningful learning accessible to those who need it most through Community learning. Additionally, students engage in community projects, such as art students creating vibrant murals for the Next Chapter Hub to transform a space for local care leavers.",https://burycollege.ac.uk/adults
I want to switch careers. Can Bury College help me retrain?,"Yes, Bury College offers career path opportunities and can assist you with retraining if you are looking to change your career.",https://burycollege.ac.uk/adults
Does Bury College host any skills competitions for construction students?,"Yes, Bury College hosted the GM Skills Construction Competition on Friday 13th March 2026, where students from nine colleges competed in areas such as Plastering, Bricklaying, Carpentry and Joinery, Electrical Installation, Painting and Decorating, and Plumbing.",https://burycollege.ac.uk/adults
What was the GM Skills Foundation Studies Competition hosted by Bury College?,"The GM Skills Foundation Studies Competition was an event hosted by Bury College for learners from 12 Greater Manchester colleges. Students showcased creative heritage-inspired projects and participated in a collaborative team challenge to celebrate creativity, confidence, and community.",https://burycollege.ac.uk/adults
Are there success stories of former apprentices returning to inspire current students?,"Yes, Ismail, a former Bury College Accounting Apprentice, recently returned to the college to share his learning journey with current learners.",https://burycollege.ac.uk/adults
I am an adult learner looking to return to study. Is there an upcoming event where I can explore my options for courses starting in September?,"Yes, you can attend the Adult Learning Open Event on Wednesday 17th June 2026, from 4pm to 7pm. This event will showcase the wide range of opportunities available starting in September, and you can book your place in advance.",https://burycollege.ac.uk/university-centre
My child is finishing their Level 3 course at Bury College. Is there any financial support available if they decide to stay and study for a degree here?,"Yes, a £500 bursary is available for Bury College students who progress from a full-time Level 3 course to a full-time course at Bury College University Centre.",https://burycollege.ac.uk/university-centre
What kind of facilities does the Bury College University Centre offer to higher education students?,"Students have access to a purpose-built centre with modern facilities, which include a dedicated lecture room, a library, a social learning area, and an on-site bistro.",https://burycollege.ac.uk/university-centre
What are the main advantages of choosing Bury College University Centre over a traditional university?,"By studying at Bury College University Centre, you can stay local and save money while receiving university education of exceptional value. You will also benefit from a small, friendly, and student-focused environment with supportive staff, a personal approach, and one-to-one feedback from highly experienced tutors.",https://burycollege.ac.uk/university-centre
How are the courses structured to help students with their future careers?,"The programmes are specifically designed to enhance your employability skills, prepare you to progress onto further study, or help you get directly into industry.",https://burycollege.ac.uk/university-centre
I am a local employer. Does Bury College work with businesses to train apprentices?,"Yes, Bury College partners with local employers. For example, they have a long-standing partnership with the Mulberry Bush Nursery Group to hire and train childcare apprentices, providing learners with career opportunities.",https://burycollege.ac.uk/university-centre
What kind of personal and academic support can I expect to receive during my studies?,"Bury College University Centre is committed to supporting you both personally and academically. You will receive tailored support, advice, guidance, and the resources needed to achieve your full potential, alongside one-to-one feedback from tutors.",https://burycollege.ac.uk/university-centre
Where can I find information on how to apply to the university centre and the key deadlines?,"You can find all the details regarding how to apply, key application dates, and other important application details on the 'How to apply' page of the Bury College website.",https://burycollege.ac.uk/university-centre
I want to become a teacher. Can studying at Bury College University Centre help me achieve this goal?,"Yes, the university centre supports students on this career path. For example, Stacy, a student at the university centre, has shared her learning journey about how she is currently working towards her dream career of becoming a teacher.",https://burycollege.ac.uk/university-centre
"As a governor, I'd like to know how the college engages with the local community. Can you provide a recent example?","Recently, Bury College art students collaborated with the Next Chapter Hub in Bury to design and paint vibrant murals, helping to transform the space for local care leavers.",https://burycollege.ac.uk/university-centre
Has the college hosted any regional skills competitions recently to showcase student talent?,"Yes, Bury College hosted the GM Skills Foundation Studies Competition on April 1st, 2026, welcoming 12 Greater Manchester colleges. It also hosted the GM Skills Construction Competition on March 13th, 2026, where students from nine colleges competed in areas like plastering, bricklaying, carpentry, electrical installation, painting, and plumbing.",https://burycollege.ac.uk/university-centre
Are there opportunities for current students to learn from former apprentices who have successfully entered the workforce?,"Yes, the college invites alumni back to inspire current students. For example, Ismail, a former Bury College Accounting Apprentice, recently returned to the college to share his learning journey and career experiences with current learners.",https://burycollege.ac.uk/university-centre
I am a local business owner looking to upskill my current staff. What kind of support or training options does Bury College offer to employers?,"Bury College offers several services for employers looking to upskill their workforce, including apprenticeships for existing staff, fully-funded short courses, and expert advice and guidance on employee training.",https://burycollege.ac.uk/employers
Does Bury College provide opportunities for businesses to host students for work placements?,"Yes, Bury College offers work placements for students, which include funded T Level placements, allowing employers to bring fresh ideas and support to their businesses.",https://burycollege.ac.uk/employers
I'm an adult looking to return to education. Are there any upcoming events where I can get more information about my options?,"Yes, Bury College is hosting an Adult Learning Open Event on the 17th of June 2026.",https://burycollege.ac.uk/employers
How can my company get in touch with Bury College to start a partnership or enquire about training?,"You can start a conversation by filling out the contact form on the college's website under the ""Make an enquiry"" section.",https://burycollege.ac.uk/employers
Do Bury College students get any opportunities to work on real-world community projects?,"Yes. For example, Bury College art students recently collaborated with the Next Chapter Hub in Bury to design and paint vibrant murals to help transform the space for local care leavers.",https://burycollege.ac.uk/employers
Can you tell me about any successful former apprentices from Bury College?,"Yes, Ismail is a former Bury College Accounting Apprentice who recently returned to the college to share his successful learning journey and inspire current students.",https://burycollege.ac.uk/employers
I am interested in teacher training. Does Bury College University Centre offer pathways toward becoming a teacher?,"Yes, Bury College University Centre supports students working towards their dream careers, such as Stacy, who studied there and was inspired to become a teacher.",https://burycollege.ac.uk/employers
We run a nursery and want to hire childcare apprentices. Has Bury College worked with other childcare providers before?,"Yes, Bury College has a long-standing partnership with the Mulberry Bush Nursery Group, helping them hire and train childcare apprentices to build thriving careers.",https://burycollege.ac.uk/employers
"What was the GM Skills Foundation Studies Competition hosted by Bury College, and who participated?","Hosted on April 1st, 2026, the GM Skills Foundation Studies Competition welcomed learners from 12 Greater Manchester colleges. Students showcased creative, heritage-inspired projects and participated in a collaborative team challenge to celebrate their creativity, confidence, and community.",https://burycollege.ac.uk/employers
I'm interested in studying a trade. Does Bury College host or participate in any construction skills competitions?,"Yes, Bury College hosted the GM Skills Construction Competition on March 13th, 2026. Students from nine colleges competed in trades including Plastering, Bricklaying, Carpentry and Joinery, Electrical Installation, Painting and Decorating, and Plumbing.",https://burycollege.ac.uk/employers
Can employers visit Bury College to speak directly with the students?,"Yes, the college's employer offer includes opportunities for businesses to visit the campus and talk directly to students to help inspire the next generation.",https://burycollege.ac.uk/employers
How does Bury College ensure that its students are prepared for the workplace after they graduate?,"Bury College prepares students for the workplace by partnering with employers, utilizing the expertise of its staff, and providing access to state-of-the-art facilities to offer hands-on, real-world experiences.",https://burycollege.ac.uk/employers
What is the main phone number to contact Bury College for general enquiries?,You can contact Bury College's main line by calling 0161 280 8280.,https://burycollege.ac.uk/contact-us/contact-information
How can I get in touch with the admissions team to ask about course applications?,You can reach the admissions team by calling 0161 280 8200 or by emailing admissions@burycollege.ac.uk.,https://burycollege.ac.uk/contact-us/contact-information
My child is sick and cannot attend classes today. How do I report a student absence to Bury College?,"To report a student absence, you should use the online reporting link at https://studentportal.burycollege.ac.uk/absencereporting/.",https://burycollege.ac.uk/contact-us/contact-information
I am an adult looking to return to education. Does Bury College have any upcoming events for adult learners?,"Yes, Bury College is hosting an Adult Learning Open Event on the 17th of June 2026.",https://burycollege.ac.uk/contact-us/contact-information
I run a local business and want to hire childcare apprentices. Does Bury College partner with employers for this?,"Yes, Bury College has a long-standing partnership with employers like the Mulberry Bush Nursery Group to hire and train childcare Apprentices, helping them build thriving careers.",https://burycollege.ac.uk/contact-us/contact-information
Can I study at a higher education level at Bury College to work towards becoming a teacher?,"Yes, you can study at the Bury College University Centre, which has helped students like Stacy work towards their dream careers and get inspired to become teachers.",https://burycollege.ac.uk/contact-us/contact-information
How do Bury College students contribute to the local community?,"Bury College art students recently collaborated with the Next Chapter Hub in Bury to create vibrant murals, helping to transform the space for local care leavers.",https://burycollege.ac.uk/contact-us/contact-information
Do former apprentices ever return to share their experiences with current students?,"Yes, former Accounting Apprentice Ismail recently returned to the college to share his learning journey and inspire the next generation of learners.",https://burycollege.ac.uk/contact-us/contact-information
Did Bury College host any events recently for Foundation Studies students in Greater Manchester?,"Yes, Bury College welcomed learners from 12 Greater Manchester colleges for the GM Skills Foundation Studies Competition, where students showcased creative heritage-inspired projects and completed a collaborative team challenge.",https://burycollege.ac.uk/contact-us/contact-information
What trades were featured in the GM Skills Construction Competition hosted by Bury College?,"The competition featured students competing across Plastering, Bricklaying, Carpentry and Joinery, Electrical Installation, Painting and Decorating, and Plumbing.",https://burycollege.ac.uk/contact-us/contact-information
What is the main email address I can use to send a general enquiry to Bury College?,"For general enquiries, you can email Bury College at information@burycollege.ac.uk or complete the enquiry form on their website.",https://burycollege.ac.uk/contact-us/contact-information
"When did Bury College host the GM Skills Construction Competition, and how many colleges participated?","Bury College hosted the GM Skills Construction Competition on Friday 13th March 2026, with students from nine colleges participating.",https://burycollege.ac.uk/contact-us/contact-information
"I am an adult looking to return to education. Does Bury College offer courses for mature students, and is there an upcoming event where I can find out more?","Yes, Bury College offers dedicated adult and university courses. You can find out more about these opportunities at the upcoming Adult Learning Open Event scheduled for June 17th, 2026.",https://burycollege.ac.uk/about-us/workforus
I am considering applying for an academic teaching role at Bury College. How many days of annual leave would I receive?,"Academic staff at Bury College receive 45 days of annual leave plus bank holidays. Additionally, the college offers a Christmas closure period which is in addition to your standard annual leave allowance.",https://burycollege.ac.uk/about-us/workforus
What kind of health and wellness benefits does Bury College offer to its staff?,"Bury College supports staff wellbeing by providing access to an Employee Assistant Programme (EAP) with counselling, an Occupational Health Service, a free onsite gym, and a cycle to work scheme.",https://burycollege.ac.uk/about-us/workforus
We are a local business interested in hiring apprentices. Does Bury College have experience partnering with employers for apprenticeship training?,"Yes, Bury College has strong, long-standing partnerships with local employers. For example, they have partnered with the Mulberry Bush Nursery Group for a number of years to hire and train childcare apprentices, helping them build successful careers.",https://burycollege.ac.uk/about-us/workforus
What types of courses are available for school leavers aged 16 and above at Bury College?,"For learners aged 16 and older, Bury College offers a wide range of options including A Levels, T Levels, vocational courses, apprenticeships, and foundation studies.",https://burycollege.ac.uk/about-us/workforus
I currently work in the construction industry but am thinking about transitioning into teaching. Does Bury College support people making this career change?,"Yes, Bury College actively supports industry professionals transitioning into education. They provide resources and insights from current construction staff who have successfully made the transition from working in the industry to teaching.",https://burycollege.ac.uk/about-us/workforus
Does Bury College offer any childcare support or family-friendly benefits for its employees?,"Yes, Bury College provides several family-friendly benefits for staff, including an onsite nursery, a family-friendly policy, and enhanced maternity and paternity pay.",https://burycollege.ac.uk/about-us/workforus
How does Bury College engage with and support the local community through its student projects?,"Bury College students regularly engage with the community. Recently, Bury College art students collaborated with the Next Chapter Hub in Bury to create vibrant murals, helping to transform the space for local care leavers.",https://burycollege.ac.uk/about-us/workforus
I am interested in studying construction. What trade skills are featured in the regional competitions hosted by the college?,"Bury College hosted the GM Skills Construction Competition, which showcases top skills across several trades: Plastering, Bricklaying, Carpentry and Joinery, Electrical Installation, Painting and Decorating, and Plumbing.",https://burycollege.ac.uk/about-us/workforus
Can I study for a degree or higher education qualification at Bury College?,"Yes, Bury College offers higher education options through the Bury College University Centre, which provides university-level courses to help students work towards their dream careers.",https://burycollege.ac.uk/about-us/workforus
What pension schemes are available to staff working at Bury College?,"Depending on the role, staff at Bury College have access to either the Teachers' Pension Fund or the Local Authority Pension Fund.",https://burycollege.ac.uk/about-us/workforus
Does Bury College host regional skills competitions for foundation studies students?,"Yes, Bury College recently hosted the GM Skills Foundation Studies Competition, welcoming learners from 12 Greater Manchester colleges to showcase creative heritage-inspired projects and participate in collaborative team challenges.",https://burycollege.ac.uk/about-us/workforus
I am an industry professional interested in transitioning to education. What is the 'Taking Teaching Further' initiative at Bury College?,"The 'Taking Teaching Further' initiative is a program run in partnership with the Department for Education that allows qualified industry experts to train to teach students aged 14 and older. It provides a fully funded teaching qualification (PGCE/CertEd) taught over two years, intensive support from line managers, peers, and learning improvement leaders, a reduced teaching timetable in your first two years, and a permanent teaching contract upon successful completion of your probation period.",https://burycollege.ac.uk/taking-teaching-further
Do I have to pay for the teaching qualification under the Taking Teaching Further scheme?,"No, the teaching qualification (PGCE/CertEd) is fully funded and is taught over a two-year period.",https://burycollege.ac.uk/taking-teaching-further
What are the entry requirements and criteria for candidates applying to the Taking Teaching Further program?,"Candidates must be new to teaching and must not already hold any teaching qualifications. You are expected to have a minimum of a Level 3 qualification in your field of expertise (or equivalent suitable experience determined at the college's discretion) and have, or be willing to work towards, a Level 2 qualification in English and maths. You must also satisfy the College's recruitment criteria.",https://burycollege.ac.uk/taking-teaching-further
What kind of support will I receive during my first few months as a trainee teacher at Bury College?,"You will receive a package of intensive support during your first few months, which includes guidance from your line manager, learning improvement leaders, and peers. Additionally, you will benefit from a reduced teaching timetable during your first two years.",https://burycollege.ac.uk/taking-teaching-further
Will I be offered a permanent job after completing the trainee lecturer program?,"Yes. You will initially be recruited to one of the vacant Trainee Lecturer positions, and upon successful completion of your probation period, you will secure a permanent teaching contract.",https://burycollege.ac.uk/taking-teaching-further
What is the annual leave allowance for staff working at Bury College?,The benefits of working at Bury College include 45 days of annual leave plus bank holidays and the Christmas closure.,https://burycollege.ac.uk/taking-teaching-further
What employee benefits and onsite facilities does Bury College offer to its staff?,"Bury College offers a wide range of benefits, including a Teacher's Pension, comprehensive induction and ongoing training, flexible working, a Foster Family Friendly Policy, Special Leave of Absence, paid leave for religious festivals, sabbaticals, an Employee Assistance Programme, and an Occupational Health Service. Onsite facilities include a gym, a Cycle to Work Scheme, a nursery (places not guaranteed), and free parking (spaces not guaranteed).",https://burycollege.ac.uk/taking-teaching-further
Who should I contact if I have questions about the trainee vacancies or the application process?,You can contact the Bury College HR Team by calling 0161 280 8322 or by emailing hr@burycollege.ac.uk.,https://burycollege.ac.uk/taking-teaching-further
Are there any financial incentives available for industry experts who want to teach Construction at Bury College?,"Yes, subject to availability, there may be an opportunity to receive a financial incentive of up to £6,000 to teach in the Construction sector.",https://burycollege.ac.uk/taking-teaching-further
Is there any extra financial support or incentive available for teaching in the Digital sector?,"Yes, subject to availability, there may be an opportunity to receive a financial incentive of up to £6,000 to teach in the Digital sector.",https://burycollege.ac.uk/taking-teaching-further
What business-related courses does Bury College offer that I could potentially teach using my industry experience?,"Bury College offers Vocational Business at Level 2 and Level 3, as well as the T-Level in Management and Administration at Level 3.",https://burycollege.ac.uk/taking-teaching-further
I have a background in the culinary industry. What specific hospitality and catering courses are offered at the college?,"Bury College offers Professional Cookery at Level 2 and Level 3, as well as Hospitality and Catering at Level 2.",https://burycollege.ac.uk/taking-teaching-further
What exactly is the Greater Manchester Institute of Technology (GMIoT) and how does it benefit students at Bury College?,"The GMIoT is a collaborative partnership between colleges in Greater Manchester, the University of Salford, and leading employers. For Bury College students in Health and Digital areas, this partnership provides access to specialist training, curriculum designed and delivered with employers, instruction from industry-experienced tutors, and use of specialist, industry-standard facilities.",https://burycollege.ac.uk/greater-manchester-institute-of-technology
Which major employers are actively partnered with the GMIoT?,"The core employer partners for the Greater Manchester Institute of Technology include GCHQ, Laing O’Rourke, Siemens, and the BBC.",https://burycollege.ac.uk/greater-manchester-institute-of-technology
What T Level courses can my child study at Bury College under the GMIoT program?,"Bury College offers several GMIoT T Level courses: Digital Production, Design & Development; Digital Support Services (with a specialism in Digital Infrastructure); and Health (with specialisms in either the Adult Nursing Team or Supporting Therapy Teams).",https://burycollege.ac.uk/greater-manchester-institute-of-technology
I am an adult learner looking to study a university-level course. What GMIoT higher education options are available at Bury College?,"Bury College offers several university-level GMIoT courses, including Access to Higher Education Diplomas in both the Health Professions and Social Science pathways. They also offer Higher Technical Qualifications (HTQs) at HNC level in Digital Technologies, Healthcare Practice, and Community Coaching for England.",https://burycollege.ac.uk/greater-manchester-institute-of-technology
Is there an upcoming open day where I can find out more about adult learning opportunities?,"Yes, Bury College is hosting an Adult Learning Open Event on the 17th of June 2026.",https://burycollege.ac.uk/greater-manchester-institute-of-technology
"As a local employer, I want to know if Bury College has a good track record of working with businesses for apprenticeships. Can you provide an example?","Yes, Bury College has strong, long-term partnerships with employers. For example, they have worked with the Mulberry Bush Nursery Group for a number of years to hire and train childcare apprentices, helping learners build successful careers while supporting the business.",https://burycollege.ac.uk/greater-manchester-institute-of-technology
How do Bury College students contribute to the local community in Bury?,"Bury College students actively support the community through various projects. Recently, art students collaborated with the Next Chapter Hub in Bury to paint vibrant murals, transforming the environment for local care leavers.",https://burycollege.ac.uk/greater-manchester-institute-of-technology
Does Bury College host regional skills competitions for practical trades like construction?,"Yes, Bury College hosted the GM Skills Construction Competition on March 13th, 2026. Students from nine colleges competed in trade categories including Plastering, Bricklaying, Carpentry and Joinery, Electrical Installation, Painting and Decorating, and Plumbing.",https://burycollege.ac.uk/greater-manchester-institute-of-technology
Do you have any examples of former apprentices returning to inspire current students?,"Yes, Ismail, a former Bury College Accounting Apprentice, recently returned to the college to share his learning journey and career success to inspire current learners.",https://burycollege.ac.uk/greater-manchester-institute-of-technology
I want to pursue a career in teaching. Can Bury College University Centre help me achieve this?,"Yes, Bury College University Centre supports students on pathways to teaching. For example, student Stacy used her learning journey at the University Centre to successfully work towards her dream career of becoming a teacher.",https://burycollege.ac.uk/greater-manchester-institute-of-technology
"Where can I find updates, newsletters, and social media accounts for the GMIoT?","You can read the latest newsletter on the GMIoT website. You can also follow their updates and student success stories on Facebook, Instagram, X (formerly Twitter), YouTube, and LinkedIn.",https://burycollege.ac.uk/greater-manchester-institute-of-technology
What is the GM Skills Foundation Studies Competition that was hosted at the college?,"Hosted by Bury College on April 1st, 2026, the GM Skills Foundation Studies Competition welcomed learners from 12 Greater Manchester colleges to showcase creative heritage-inspired projects and participate in collaborative team challenges, celebrating student creativity, confidence, and community.",https://burycollege.ac.uk/greater-manchester-institute-of-technology
"How many governors sit on the Bury College Corporation, and what are their primary responsibilities?","The Corporation is made up of sixteen volunteer governors. Their role is to work with college management to set the strategic direction of the college, monitor and evaluate performance, and ensure accountability for the use of public funds.",https://burycollege.ac.uk/about-us/governance
I am interested in volunteering as a governor. Who should I contact for more information on how to apply?,"You can contact Joanne Greenhalgh, the Executive Assistant to the Principal, via email at joanne.greenhalgh@burycollege.ac.uk for further information on becoming a member of the Corporation.",https://burycollege.ac.uk/about-us/governance
I am an adult looking to return to education. When is the next open event for adult learners at Bury College?,"The next Adult Learning Open Event is scheduled to take place on June 17th, 2026.",https://burycollege.ac.uk/about-us/governance
We are a local business looking to recruit apprentices. Does Bury College have experience partnering with employers in the childcare sector?,"Yes, Bury College has a long-standing partnership with employers like the Mulberry Bush Nursery Group, helping them hire and train childcare apprentices to build successful careers.",https://burycollege.ac.uk/about-us/governance
Where can I find the college's long-term strategic goals and plans?,You can access the Bury College Strategic Plan 2025-2030 (specifically the October 2025 update) via the Paperturn link provided in the Governance section of the college website.,https://burycollege.ac.uk/about-us/governance
Do Bury College students get opportunities to work on community art projects?,"Yes. For example, in May 2026, Bury College art students collaborated with the Next Chapter Hub in Bury to design and paint vibrant murals, helping to transform the space for local care leavers.",https://burycollege.ac.uk/about-us/governance
I am interested in a construction trade. What specific areas were tested at the GM Skills Construction Competition hosted by the college?,"The competition, hosted by Bury College on March 13th, 2026, featured students competing across Plastering, Bricklaying, Carpentry and Joinery, Electrical Installation, Painting and Decorating, and Plumbing.",https://burycollege.ac.uk/about-us/governance
Can I study at Bury College if I want to pursue a career in teaching?,"Yes, you can study at Bury College University Centre to work towards a teaching career, as highlighted by the learning journey of student Stacy, who was inspired to become a teacher through her studies there.",https://burycollege.ac.uk/about-us/governance
How does the college ensure that the opinions of its staff and students are heard by leadership?,The college has a formal document in its Governance section titled 'Arrangements for obtaining the views of Staff and Students' which outlines how these perspectives are gathered and considered.,https://burycollege.ac.uk/about-us/governance
Does the Bury College Corporation accept governor applications from individuals of all backgrounds?,"Yes, the Corporation actively encourages recruitment from all sections of the community and welcomes applications from people of all cultural backgrounds with a wide range of relevant skills and experience.",https://burycollege.ac.uk/about-us/governance
Does the college host regional events for Foundation Studies students?,"Yes, Bury College hosted the GM Skills Foundation Studies Competition on April 1st, 2026, welcoming students from 12 Greater Manchester colleges to showcase creative heritage-inspired projects and participate in team challenges.",https://burycollege.ac.uk/about-us/governance
"What official documents are available to view regarding the rules, ethics, and conduct of the college's governing body?","The college provides several public documents, including the Code of Conduct, Code of Ethics, Standing Orders, Instrument and Articles of Government (April 2025 update), and the Governor Role Description.",https://burycollege.ac.uk/about-us/governance
I am an adult looking to return to education. Are there any upcoming information sessions or events I can attend?,"Yes, Bury College is hosting an Adult Learning Open Event on June 17th, 2026, which would be a great opportunity to get more information.",https://burycollege.ac.uk/about-us/our-vision
What is Bury College's core vision and mission for its students and the local area?,"Bury College's vision is 'Positive Futures: Skills for Jobs, Skills for Life.' Its mission is 'Serving the community through education and training.'",https://burycollege.ac.uk/about-us/our-vision
What are the core values that guide Bury College's educational environment?,"The college's core values are being Inclusive, Ambitious, Supportive, Responsive, Empowering, and Collaborative.",https://burycollege.ac.uk/about-us/our-vision
I run a local business and want to hire apprentices. Does Bury College have a track record of partnering with employers for apprenticeship training?,"Yes, Bury College has successful, long-standing partnerships with local employers. For example, they have worked with the Mulberry Bush Nursery Group for a number of years to hire and train childcare apprentices, helping them build thriving careers.",https://burycollege.ac.uk/about-us/our-vision
Do art students at Bury College get the chance to work on real-world community projects?,"Yes, art students at Bury College recently collaborated with the Next Chapter Hub in Bury to create vibrant murals, helping to transform the space for local care leavers.",https://burycollege.ac.uk/about-us/our-vision
